ResponseId,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. Transfer Senator,A.S. Transfer Senator
R_00000000005041,2,1,3,2,1,1,2,1,2,1,2,,,,,,2,,4,,,1,3,,,5,8,7,3,12,1,,,6,,,,9,10,,,2,11,,4,,,,,,,,,,,,,,,
R_00000000005042,3,2,1,2,1,2,1,1,2,1,2,,,,,3,1,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,1,,,,4,,,,
R_00000000005043,3,1,2,1,2,2,1,1,2,1,2,,,,,,4,1,2,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005044,3,1,2,2,1,2,1,1,2,2,1,,,,,,,1,4,2,,3,,,,,,,,,,,,,3,,,1,,,,,2,,,,,,,,,,,,,,,,,
R_00000000005045,,,,1,2,2,1,2,1,1,2,,,,,3,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,1,,2,4,,,,,
R_00000000005046,3,1,2,2,1,2,1,1,2,2,1,,,,,4,,2,3,,,1,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005047,,1,,1,2,,,,,1,2,,,,,,3,,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005048,2,1,3,2,1,1,2,2,1,2,1,,,,,4,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000005049,2,3,1,1,2,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005050,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,3,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000005051,1,2,3,2,1,1,2,1,2,1,2,3,1,2,4,,,,,,,,,,,,,4,,,,,7,5,2,1,,,,,,,,8,,6,3,,,,,,,,,,,,,
R_00000000005052,3,1,2,1,2,2,1,1,2,1,2,,,,,1,,,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,1,3,4,,,,
R_00000000005053,2,1,3,2,1,2,1,1,2,2,1,,,,,,1,3,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000005054,2,1,3,2,1,1,2,2,1,2,1,,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005055,3,1,2,1,2,2,1,1,2,1,2,,,,,1,,4,2,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
R_00000000005056,1,3,2,2,1,1,2,2,1,1,2,,,,,2,,,,3,1,,4,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,
R_00000000005057,2,1,3,2,1,1,2,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005058,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,3,,,2,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005059,2,1,3,2,1,2,1,2,1,2,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005060,3,2,1,1,2,2,1,1,2,1,,,,,,,1,,3,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,1,3,5,,,,
R_00000000005061,,,,,,2,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005062,2,1,3,2,1,2,1,1,2,1,2,,,,,,2,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,5,,4,2,,,,
R_00000000005063,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,4,,,,3,2,,,6,,1,,5,,,7,,,3,4,,2,,,,,,,,,,,,,,,,,,,,,
R_00000000005064,3,2,1,1,2,2,1,1,2,1,2,,,,,2,,,1,,4,,3,,,6,11,,3,,10,8,7,9,,,4,1,,,,,5,2,,12,,,,,,,,,,,,,1,2
R_00000000005065,1,2,3,1,2,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
R_00000000005066,2,1,3,2,1,1,2,1,2,2,1,,,,,3,2,,,,1,4,,,,7,,3,,,,1,,6,11,4,,9,,,8,2,5,10,12,,,,,,,,,,,,,,,
R_00000000005067,2,3,1,1,2,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,2,,,1,,,,
R_00000000005069,2,1,3,1,2,,1,1,2,1,2,,,,,,,2,,4,,1,3,,,9,1,,2,8,,5,7,,10,,12,,6,,11,,4,,3,,,,,,,,,,,,,,1,2
R_00000000005070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005071,,,1,1,,,1,1,,,,,,,,,4,,1,,,3,2,,,2,9,10,5,8,,,7,,6,4,1,,11,,,,,3,,,,,,,,,,,,,,,,
R_00000000005072,3,1,2,2,1,1,2,2,1,1,2,,,,,,,,,,,,,1,2,,,,,,,,,5,4,,,,,,,3,2,,1,,,,,,,,,,,,,,,
R_00000000005073,3,2,1,1,2,2,1,2,1,1,2,,,,,,1,3,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_00000000005074,,1,,,1,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000005075,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005076,2,3,1,1,2,2,1,1,2,2,1,,,,,,,2,,3,1,4,,,,6,,,10,,,5,12,11,3,,,,8,7,,1,9,,2,4,,,,,,,,,,,,,,
R_00000000005077,3,1,2,2,1,1,2,2,1,1,2,,,,,,,4,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,
R_00000000005078,3,1,2,1,2,2,1,1,2,2,1,,,,,2,,1,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,4,3,,,,,
R_00000000005079,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,4,,1,,,5,,,,
R_00000000005080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005081,3,1,2,2,1,1,2,2,1,1,2,,,,,1,,2,,,3,4,,,,,,,,,,,,2,,,,,,1,,,,,3,,,,,,,,,,,,,,,
R_00000000005082,3,2,1,1,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005083,3,1,2,2,1,2,1,2,1,1,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,
R_00000000005084,2,1,3,1,2,2,1,2,1,1,2,,,,,,4,2,1,,,3,,,,,1,11,,4,2,,,,,,,8,9,12,,3,5,,10,7,6,,,,,,,,,,,,,
R_00000000005085,1,2,3,2,1,1,2,1,2,2,1,,,,,4,,2,,1,3,,,,,,,,,,4,,,1,,,,,,,2,,,,3,,,,,,,,,,,,,,1,2
R_00000000005086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005089,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005090,1,3,2,2,1,2,1,1,2,2,1,,,,,4,,2,,,1,3,,,,8,,2,9,,11,1,,3,,,,6,,4,12,5,,,7,,10,,,,,,,,,,,,,
R_00000000005091,,1,,,1,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
R_00000000005092,3,2,1,1,2,2,1,1,2,2,1,,,,,,3,,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005093,,,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,2,,8,4,,,,6,9,7,3,1,,,12,,,,5,11,,10,,,,,,,,,,,,,
R_00000000005094,,,1,1,,,1,1,,1,,,,,,,3,,1,,,4,2,,,9,7,3,5,4,,,10,6,8,2,1,,11,,,,,,,,,,,,,,,,,,,,,
R_00000000005095,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,4,,,1,3,,,2,9,,10,8,,,3,,4,7,5,,1,,,,,6,,,,,,,,,,,,,,,,
R_00000000005096,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005097,2,1,3,2,1,1,2,2,1,2,1,,,,,4,,2,,1,3,,,,,,,,,,5,2,,3,,,,8,,11,6,10,9,,7,4,1,,,,,,,,,,,,,
R_00000000005098,1,2,3,2,1,2,1,1,2,1,2,,,,,4,3,,,,,2,1,,,2,8,,,,,1,7,6,,,9,,10,,,5,4,,11,,3,,,,,,,,,,,,,
R_00000000005099,3,1,2,2,1,2,1,2,1,1,2,,,,,3,,1,,4,2,,,,,,,,,,2,,,,3,,,6,,,,4,,,1,,5,,,,,,,,,,,,,
R_00000000005100,1,3,2,1,2,1,2,2,1,2,1,,,,,4,,,,2,1,,3,,,,,,,,3,6,,1,,,,8,,11,9,2,7,12,4,10,5,,,,,,,,,,,,1,2
R_00000000005101,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
R_00000000005102,3,2,1,1,2,2,1,1,2,1,2,2,1,4,3,,,,,,,,,,,,,3,,,12,6,,,11,1,,2,,9,,,4,10,5,8,7,,,,,,,,,,,,,
R_00000000005103,1,,,,1,1,,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,5,3,4,,,,,,
R_00000000005104,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005105,3,2,1,2,1,2,1,1,2,1,2,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
R_00000000005106,1,2,3,1,2,2,1,2,1,2,1,3,4,2,1,,,,,,,,,,,,6,10,,,4,11,,3,2,7,,,9,1,5,12,,,8,,,,,,,,,,,,,,,
R_00000000005107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005108,3,1,2,2,1,2,1,1,2,1,2,,,,,1,3,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,
R_00000000005109,,2,1,1,,1,,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000005110,,,,,,,,,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005111,1,3,2,1,2,2,1,1,2,1,2,,,,,1,,2,4,,,3,,,,9,,,2,,,4,11,8,1,7,5,,,,,10,12,6,,3,,,,,,,,,,,,,,
R_00000000005112,2,3,1,2,1,1,2,2,1,1,2,,,,,,1,2,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005113,3,1,2,1,2,1,2,1,2,1,2,,,,,,1,2,,,3,,4,,,1,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,2,1
R_00000000005114,3,2,1,1,2,1,2,1,2,1,2,,,,,3,2,,4,,,,1,,,7,,,8,,,,1,5,,4,2,,,,,,,3,,,6,,,,,,,,,,,,,
R_00000000005115,3,1,2,2,1,1,2,2,1,2,1,,,,,1,,4,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,2,,5,,,1,,,,
R_00000000005116,1,2,3,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_00000000005117,3,2,1,1,2,1,2,2,1,2,1,,,,,,1,4,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,1,,,,,2,,,1,2
R_00000000005118,2,1,3,1,2,2,1,2,1,1,2,,,,,,1,,3,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,1,,,,
R_00000000005119,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,12,,5,3,10,4,7,,,1,,,11,2,8,6,,,,,,,,,,,,,
R_00000000005120,2,3,1,1,2,2,1,1,2,2,1,,,,,,2,,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,5,1,4,,,,,
R_00000000005121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005122,3,1,2,2,1,1,2,1,2,1,2,,,,,3,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
R_00000000005123,3,2,1,1,2,2,1,2,1,2,1,,,,,3,4,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,5,4,,,,,,
R_00000000005124,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,1,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005125,2,3,1,1,2,2,1,1,2,2,1,,,,,,1,,3,,,4,2,,,10,6,9,1,7,,,5,,4,8,11,,3,,,,,2,,,,,,,,,,,,,,,,
R_00000000005126,2,1,3,2,1,1,2,2,1,1,2,1,3,4,2,,,,,,,,,,,6,,11,,9,3,,7,,,12,8,,,4,5,,2,10,,,1,,,,,,,,,,,,1,2
R_00000000005127,3,1,2,1,2,2,1,1,2,1,2,,,,,,3,,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005128,3,1,2,2,1,2,1,1,2,1,2,,,,,4,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,1,3,5,,,,
R_00000000005129,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005130,3,2,1,1,2,2,1,1,2,1,2,,,,,,,4,1,,,3,2,,,3,,4,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005131,3,1,2,2,1,2,1,1,2,1,2,,,,,,4,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2
R_00000000005132,3,1,2,1,2,2,1,1,2,2,1,,,,,,2,,3,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,1,3,5,,,,
R_00000000005133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
R_00000000005134,3,1,2,2,1,1,2,1,2,2,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005135,3,2,1,1,2,2,1,2,1,2,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005136,3,1,2,1,2,2,1,1,2,2,1,,,,,,2,,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,,3,5,,,,,
R_00000000005137,2,3,1,1,2,2,1,1,2,1,2,,,,,,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,3,2,4,,,,
R_00000000005138,3,1,2,2,1,1,2,2,1,2,1,,,,,3,,1,,2,4,,,,,,,,,,1,8,,5,11,,,2,,12,4,7,3,,6,10,9,,,,,,,,,,,,,
R_00000000005139,3,2,1,1,2,2,1,1,2,,,,,,,,4,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,,2,3,,,,,
R_00000000005140,3,1,2,2,1,1,2,1,2,1,2,,,,,1,,3,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005141,3,2,1,2,1,2,1,2,1,1,2,,,,,3,,,1,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,4,2,,,1,,,,,
R_00000000005142,3,1,2,1,2,2,1,2,1,2,1,,,,,,,1,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,5,2,4,,,,,
R_00000000005143,3,2,1,1,2,2,1,1,2,2,1,,,,,,3,,2,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
R_00000000005144,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
R_00000000005145,3,2,1,1,2,2,1,1,2,1,2,,,,,,4,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,2,,1,,,,,,
R_00000000005146,2,1,3,2,1,2,1,1,2,1,2,,,,,1,2,3,,4,,,,,,,,5,,,,,,2,,,3,,,6,,1,4,,,,,,,,,,,,,,,,1,2
R_00000000005147,2,1,3,1,2,2,1,1,,2,1,,,,,,2,,3,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
R_00000000005148,3,1,2,2,1,2,1,1,2,1,2,,,,,2,1,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,2,5,3,,,,,,
R_00000000005149,2,1,3,2,1,1,2,1,2,1,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,3,,1,2,,,,
R_00000000005150,3,2,1,1,2,2,1,1,2,2,1,,,,,4,2,,1,,,,3,,,,4,3,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
R_00000000005151,2,1,3,2,1,1,2,1,2,1,2,,,,,3,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,5,,2,,,,,
R_00000000005152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005153,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005154,3,2,1,1,2,2,1,1,2,1,2,,,,,,3,,2,,,4,1,,,7,10,11,1,8,,,6,,5,3,12,2,9,,,,,4,,,,,,,,,,,,,,,,
R_00000000005155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000005156,1,2,3,2,1,1,2,2,1,1,2,,,,,4,2,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,5,,,,2,,,,,
R_00000000005157,3,1,2,1,2,1,2,1,2,2,1,,,,,,4,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,
R_00000000005158,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005159,2,1,3,2,1,2,1,,,1,2,,,,,1,4,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000005160,1,3,2,1,2,2,1,2,1,1,2,,,,,4,,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,2,,3,,,1,,,,
R_00000000005161,3,2,1,1,2,2,1,1,2,1,2,,,,,,1,,3,,,2,4,,,8,6,4,3,5,,,7,,11,2,9,,10,,,,,1,12,,,,,,,,,,,,,,,
R_00000000005162,3,1,2,2,1,1,2,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,2,,,,
R_00000000005163,1,3,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005164,3,1,2,2,1,1,2,1,2,2,1,,,,,4,,1,,2,3,,,,,12,,,,,3,1,,6,,,,7,,8,,10,4,11,2,5,9,,,,,,,,,,,,,
R_00000000005165,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,4,,,3,1,,,10,6,7,5,9,,,11,,3,2,8,,4,,,,,1,,,,,,,,,,,,,,,,
R_00000000005166,1,3,2,1,2,2,1,1,2,2,1,,,,,,4,3,,,,2,1,,,,,11,,,,3,6,4,5,12,1,10,,7,9,2,,8,,,,,,,,,,,,,,,,
R_00000000005167,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,,,2,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005168,3,1,2,2,1,2,1,2,1,2,1,,,,,4,,,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,3,5,1,,,,
R_00000000005169,3,1,2,1,2,1,2,2,1,2,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005170,2,3,1,2,1,2,1,1,2,1,2,,,,,,2,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,5,4,3,,,,
R_00000000005171,3,1,2,2,1,1,2,2,1,2,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,3,,,1,4,5,,,,,,,,,,,,1,2
R_00000000005172,,1,,,1,1,,,1,,,,,,,3,,1,,2,4,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
R_00000000005173,3,1,2,2,1,1,2,2,1,1,2,,,,,1,4,3,,2,,,,,,,,,,,5,11,,10,12,,,8,,4,1,9,3,,7,6,2,,,,,,,,,,,,1,2
R_00000000005174,2,3,1,2,1,1,2,2,1,2,1,,,,,,,1,,4,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,3,,5,1,,,,,,
R_00000000005175,1,2,3,1,2,1,2,1,2,2,1,,,,,,1,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,5,,2,,,,
R_00000000005176,3,2,1,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005177,2,1,3,2,1,1,2,1,2,2,1,,,,,1,3,,4,2,,,,,,,,9,5,,10,,3,8,7,,,6,11,12,,,,1,2,,4,,,,,,,,,,,,,
R_00000000005178,2,3,1,1,2,2,1,1,2,1,2,,,,,,2,,1,,,4,3,,,6,1,4,7,,,,9,,10,8,5,,2,,,,,3,,,,,,,,,,,,,,,,
R_00000000005179,3,1,2,1,2,2,1,1,2,1,2,,,,,,,,1,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,1,2,,,,,
R_00000000005180,2,3,1,2,1,1,2,2,1,1,2,,,,,,4,,,1,,3,2,,,,,,,,4,,,,,,5,3,,,,,2,,,,1,,,,,,,,,,,,,
R_00000000005181,2,1,3,2,1,1,2,2,1,1,2,,,,,1,,4,2,,3,,,,,12,,,7,,,,4,2,,,5,11,,9,,6,10,3,8,,1,,,,,,,,,,,,1,2
R_00000000005182,2,1,3,1,,1,2,,1,1,2,,,,,,1,2,4,,3,,,,,2,7,,,,8,,,11,,3,,,,12,6,5,1,10,4,9,,,,,,,,,,,,,,
R_00000000005183,2,1,3,2,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
R_00000000005184,1,3,2,1,2,2,1,1,2,2,1,,,,,,3,,4,,,1,2,,,8,11,9,6,1,5,12,10,,,2,7,,,4,,,,3,,,,,,,,,,,,,,,,
R_00000000005185,1,2,3,1,2,2,1,1,2,1,2,,,,,,,,3,,2,4,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005186,3,1,2,2,1,2,1,2,1,1,2,,,,,2,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,,,2,,3,,,,,
R_00000000005187,2,1,3,2,1,1,2,,,,,,,,,2,,3,,1,4,,,,,,,,,,4,2,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,
R_00000000005188,1,3,2,2,1,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005189,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,3,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,4,3,,,,,
R_00000000005190,3,2,1,1,2,2,1,2,1,1,2,,,,,2,3,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,2,,1,4,,,,,
R_00000000005191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005193,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005194,2,3,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005195,1,2,3,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
R_00000000005196,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_00000000005197,3,2,1,1,2,2,1,1,2,1,2,,,,,,2,,1,4,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
